source,target
Earth,Losetho
Earth,Liberia
Earth,Libya
Earth,Liechtenstein
Earth,Lithuania
Earth,Luxembourg
Earth,Macau
Earth,Macedonia
Earth,Madagascar
Earth,Malawi
Earth,Malaysia
Earth,Maldives
Earth,Mali
Earth,Malta
Earth,Marshall Islands
Earth,Martinique
Earth,Mauritania
Earth,Mauritius
Earth,Mayotte
Earth,Mexico
Earth,Micronesia
Earth,Moldova
Earth,Monaco
Earth,Mongolia
Earth,Montenegro
Earth,Montserrat
Earth,Morocco
Earth,Mozambique
Earth,Myanmar
Earth,Namibia
Earth,Nauru
Earth,Nepal
Earth,Netherlands
Earth,New Caledonia
Earth,New Zealand
Earth,Nicaragua
Earth,Niger
Earth,Nigeria
Earth,Niue
Earth,Northern Mariana Islands
Earth,Norway
Earth,Oman
Earth,Pakistan
Earth,Palau
Earth,Palestinian territories
Earth,Panama
Earth,Papua New Guinea
Earth,Paraguay
Earth,Peru
Earth,Phillipines
Earth,Pitcairn Island
Earth,Poland
Earth,Portugal
Earth,Puerto Rico
Earth,Qatar
Earth,Reunion Island
Earth,Romania
Earth,Russian Federation
Earth,Rwanda
Earth,Saint Kitts and Nevis
Earth,Saint Lucia
Earth,Saint Vincent and the Grenadines
Earth,Samoa
Earth,San Marino
Earth,Sao Tome and Principe
Earth,Saudi Arabia
Earth,Senegal
Earth,Serbia
Earth,Seychelles
Earth,Sierra leone
Earth,Singapore
Earth,Slovakia
Earth,Slovenia
Earth,Solomon Islands
Earth,Somalia
Earth,South Africa
Earth,South Sudan
Earth,Spain
Earth,Sri Lanka
Earth,Sudan
Earth,Suriname
Earth,Swaziland
Earth,Sweden
Earth,Switzerland
Earth,Syria
Earth,Taiwan
Earth,Tajikistan
Earth,Tanzania
Earth,Thailand
Earth,Tibet
Earth,Timor-Leste
Earth,Togo
Earth,Tokelau
Earth,Tonga
Earth,Trinidad and Tobago
Earth,Tunisia
Earth,Turkey
Earth,Turkmenistan
Earth,Turks and Caicos Islands
Earth,Tuvalu
Earth,Uganda
Earth,Ukraine
Earth,United Arab Emirates
Earth,United Kingdom
Earth,United States
Earth,Uruguay
Earth,Uzbekistan
Earth,Vanatu
Earth,Vatican City State
Earth,Venezuela
Earth,Vietnam
Earth,Virgin Islands (British)
Earth,Virgin Islands (U.S.)
Earth,Wallis and Futuna Islands
Earth,Western Sahara
Earth,Yemen
Earth,Zambia
Earth,Zimbabwe
India,Andhra Pradesh
India,Arunachal Pradesh
India,Assam
India,Bihar
India,Chhattisgarh
India,Goa
India,Gujarat
India,Haryana
India,Himachal Pradesh
India,Jammu and Kashmir
India,Jharkand
India,Karnataka
India,Kerala
India,Madhya Pradesh
India,Maharashtra
India,Manipur
India,Meghalaya
India,Mizoram
India,Nagaland
India,Odisha
India,Punjab
India,Rajasthan
India,Sikkim
India,Tamil Nadu
India,Telangana
India,Tripura
India,Uttar Pradesh
India,Uttarakhand
India,West Bengal
India,Andaman and Nicobar Islands
India,Chandigarh
India,Dadra and Nagar Haveli
India,Daman and Diu
India,Lakshadweep
India,Delhi
India,Puducherry
Andhra Pradesh,Anantapur
Andhra Pradesh,Chittoor
Andhra Pradesh,East Godavari
Andhra Pradesh,Guntur
Andhra Pradesh,Kadapa
Andhra Pradesh,Krishna
Andhra Pradesh,Kurnool
Andhra Pradesh,Nellore
Andhra Pradesh,Prakasam
Andhra Pradesh,Srikakulam
Andhra Pradesh,Vishakhapatnam
Andhra Pradesh,Vizianagaram
Andhra Pradesh,West Godavari
Arunachal Pradesh,Anjaw
Arunachal Pradesh,Changlang
Arunachal Pradesh,East Kameng
Arunachal Pradesh,East Siang
Arunachal Pradesh,Lohit
Arunachal Pradesh,Longding
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,Papum Pare
Arunachal Pradesh,Tawang
Arunachal Pradesh,Tirap
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,West Kameng
Arunachal Pradesh,West Siang
Arunachal Pradesh,Upper Dibang Valley
Arunachal Pradesh,Kurung Kumey
Assam,Barpeta
Assam,Bongaigaon
Assam,Cachar
Assam,Darrang
Assam,Dhemaji
Assam,Dhubri
Assam,Dibrugarh
Assam,Goalpara
Assam,Golaghat
Assam,Hailakandi
Assam,Jorhat
Assam,Karbi Anglong
Assam,Karimganj
Assam,Kokrajhar
Assam,Lakhimpur
Assam,Morigaon
Assam,Nagaon
Assam,Nalbari
Assam,Dima Hasao
Assam,Sivasagar
Assam,Sonitpur
Assam,Tinsukia
Assam,Kamrup
Assam,Kamrup Metropolitan
Assam,Baksa
Assam,Udalguri
Assam,Chirang
Bihar,Araria
Bihar,Arwal
Bihar,Aurangabad
Bihar,Banka
Bihar,Bhagalpur
Bihar,Bhojpur
Bihar,Buxar
Bihar,Darbhanga
Bihar,East Champaran
Bihar,Gaya
Bihar,Gopalganj
Bihar,Jamui
Bihar,Jehanabad
Bihar,Khagaria
Bihar,Kishanganj
Bihar,Kaimur
Bihar,Katihar
Bihar,Lakhisarai
Bihar,Madhubani
Bihar,Munger
Bihar,Madhepura
Bihar,Muzaffarpur
Bihar,Nalanda
Bihar,Nawada
Bihar,Patna
Bihar,Purnia
Bihar,Rohtas
Bihar,Saharsa
Bihar,Samastipur
Bihar,Sheohar
Bihar,Sheikhpura
Bihar,Saran
Bihar,Sitamarhi
Bihar,Supaul
Bihar,Siwan
Bihar,Vaishali
Bihar,West Champaran
Chandigarh,Chandigarh
Chhattisgarh,Bastar
Chhattisgarh,Bijapur
Chhattisgarh,Bilaspur
Chhattisgarh,Dantewada
Chhattisgarh,Dhamtari
Chhattisgarh,Durg
Chhattisgarh,Jashpur
Chhattisgarh,Janjgir-Champa
Chhattisgarh,Korba
Chhattisgarh,Koriya
Chhattisgarh,Kanker
Chhattisgarh,Kabirdham(Kawardha)
Chhattisgarh,Mahasamund
Chhattisgarh,Narayanpur
Chhattisgarh,Raigarh
Chhattisgarh,Rajnandgaon
Chhattisgarh,Raipur
Chhattisgarh,Surajpur
Dadra and Nagar Haveli,Dadra and Nagar Haveli
Daman and Diu,Daman
Daman and Diu,Diu
Delhi,Central Delhi
Delhi,East Delhi
Delhi,New Delhi
Delhi,North Delhi
Delhi,North East Delhi
Delhi,North West Delhi
Delhi,South Delhi
Delhi,South West Delhi
Delhi,West Delhi
Goa,North Goa
Goa,South Goa
Gujarat,Ahmedabad
Gujarat,Amreli
Gujarat,Anand
Gujarat,Aravalli
Gujarat,Banaskantha
Gujarat,Bharuch
Gujarat,Bhavnagar
Gujarat,Dahod
Gujarat,Dang
Gujarat,Gandhinagar
Gujarat,Jamnagar
Gujarat,Junagadh
Gujarat,Kutch
Gujarat,Kheda
Gujarat,Mehsana
Gujarat,Narmada
Gujarat,Navsari
Gujarat,Patan
Gujarat,Panchmahal
Gujarat,Porbandar
Gujarat,Rajkot
Gujarat,Sabarkantha
Gujarat,Surendranagar
Gujarat,Surat
Gujarat,Tapi
Gujarat,Vadodara
Gujarat,Valsad
Haryana,Ambala
Haryana,Bhiwani
Haryana,Faridabad
Haryana,Fatehabad
Haryana,Gurgaon
Haryana,Hissar
Haryana,Jhajjar
Haryana,Jind
Haryana,Karnal
Haryana,Kaithal
Haryana,Kurukshetra
Haryana,Mahendragarh
Haryana,Mewat
Haryana,Palwal
Haryana,Panchkula
Haryana,Panipat
Haryana,Rewari
Haryana,Rohtak
Haryana,Sirsa
Haryana,Sonipat
Haryana,Yamuna Nagar
Himachal Pradesh,Bilaspur
Himachal Pradesh,Chamba
Himachal Pradesh,Hamirpur
Himachal Pradesh,Kangra
Himachal Pradesh,Kinnaur
Himachal Pradesh,Kullu
Himachal Pradesh,Lahaul and Spiti
Himachal Pradesh,Mandi
Himachal Pradesh,Shimla
Himachal Pradesh,Sirmaur
Himachal Pradesh,Solan
Himachal Pradesh,Una
Jammu and Kashmir,Kathua
Jammu and Kashmir,Samba
Jammu and Kashmir,Jammu
Jammu and Kashmir,Rajouri
Jammu and Kashmir,Reasi
Jammu and Kashmir,Udhampur
Jammu and Kashmir,Ramban
Jammu and Kashmir,Doda
Jammu and Kashmir,Kishtwar
Jammu and Kashmir,Poonch
Jammu and Kashmir,Anantnag
Jammu and Kashmir,Kulgam
Jammu and Kashmir,Pulwama
Jammu and Kashmir,Shopian
Jammu and Kashmir,Budgam
Jammu and Kashmir,Srinagar
Jammu and Kashmir,Ganderbal
Jammu and Kashmir,Bandipora
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Kupwara
Jammu and Kashmir,Kargil
Jammu and Kashmir,Leh
Jharkand,Garhwa
Jharkand,Palamu
Jharkand,Latehar
Jharkand,Chatra
Jharkand,Hazaribagh
Jharkand,Koderma
Jharkand,Giridih
Jharkand,Ramgarh
Jharkand,Bokaro
Jharkand,Dhanbad
Jharkand,Lohardaga
Jharkand,Gumla
Jharkand,Simdega
Jharkand,Ranchi
Jharkand,Khunti
Jharkand,West Singhbhum
Jharkand,Saraikela Kharsawan
Jharkand,East Singhbhum
Jharkand,Jamtara
Jharkand,Deoghar
Jharkand,Dumka
Jharkand,Pakur
Jharkand,Godda
Jharkand,Sahebganj
Karnataka,Bagalkot
Karnataka,Bangalore
Karnataka,Belgaum
Karnataka,Bellary
Karnataka,Bidar
Karnataka,Bijapur
Karnataka,Chamarajanagar
Karnataka,Chikballapur
Karnataka,Chikmagalur
Karnataka,Chitradurga
Karnataka,Dakshina Kannada
Karnataka,Davanagere
Karnataka,Dharwad
Karnataka,Gadag
Karnataka,Gulbarga
Karnataka,Hassan
Karnataka,Haveri
Karnataka,Kodagu
Karnataka,Kolar
Karnataka,Koppal
Karnataka,Mandya
Karnataka,Mysore
Karnataka,Raichur
Karnataka,Ramanagara
Karnataka,Shimoga
Karnataka,Tumakuru
Karnataka,Udupi
Karnataka,Uttara Kannada
Karnataka,Yadgir
Kerala,Alappuzha
Kerala,Ernakulam
Kerala,Idukki
Kerala,Kannur
Kerala,Kasaragod
Kerala,Kollam
Kerala,Kottayam
Kerala,Kozhikode
Kerala,Malappuram
Kerala,Palakkad
Kerala,Pathanamthitta
Kerala,Thiruvananthapuram
Kerala,Thrissur
Kerala,Wayanad
Madhya Pradesh,Agar
Madhya Pradesh,Alirajpur
Madhya Pradesh,Anuppur
Madhya Pradesh,Ashok Nagar
Madhya Pradesh,Balaghat
Madhya Pradesh,Barwani
Madhya Pradesh,Betul
Madhya Pradesh,Bhind
Madhya Pradesh,Bhopal
Madhya Pradesh,Burhanpur
Madhya Pradesh,Chhatarpur
Madhya Pradesh,Chhindwara
Madhya Pradesh,Damoh
Madhya Pradesh,Datia
Madhya Pradesh,Dewas
Madhya Pradesh,Dhar
Madhya Pradesh,Dindori
Madhya Pradesh,Guna
Madhya Pradesh,Gwalior
Madhya Pradesh,Harda
Madhya Pradesh,Hoshangabad
Madhya Pradesh,Indore
Madhya Pradesh,Jabalpur
Madhya Pradesh,Jhabua
Madhya Pradesh,Katni
Madhya Pradesh,Khandwa
Madhya Pradesh,Khargone
Madhya Pradesh,Mandla
Madhya Pradesh,Mandasaur
Madhya Pradesh,Morena
Madhya Pradesh,Narsinghpur
Madhya Pradesh,Neemuch
Madhya Pradesh,Panna
Madhya Pradesh,Raisen
Madhya Pradesh,Rajgarh
Madhya Pradesh,Ratlam
Madhya Pradesh,Rewa
Madhya Pradesh,Sagar
Madhya Pradesh,Satna
Madhya Pradesh,Sehore
Madhya Pradesh,Seoni
Madhya Pradesh,Shahdol
Madhya Pradesh,Shajapur
Madhya Pradesh,Sheopur
Madhya Pradesh,Shivpuri
Madhya Pradesh,Sidhi
Madhya Pradesh,Singrauli
Madhya Pradesh,Tikamgarh
Madhya Pradesh,Ujjain
Madhya Pradesh,Umaria
Madhya Pradesh,Vidisha
Maharashtra,Ahmednagar
Maharashtra,Akola
Maharashtra,Amravati
Maharashtra,Aurangabad
Maharashtra,Beed
Maharashtra,Bhandara
Maharashtra,Buldhana
Maharashtra,Chandrapur
Maharashtra,Dhule
Maharashtra,Gadchiroli
Maharashtra,Gondia
Maharashtra,Hingoli
Maharashtra,Jalgaon
Maharashtra,Jalna
Maharashtra,Kolhapur
Maharashtra,Latur
Maharashtra,Mumbai
Maharashtra,Nanded
Maharashtra,Nandurbar
Maharashtra,Nagpur
Maharashtra,Nashik
Maharashtra,Osmanabad
Maharashtra,Parbhani
Maharashtra,Pune
Maharashtra,Raigad
Maharashtra,Ratnagiri
Maharashtra,Sangli
Maharashtra,Satara
Maharashtra,Sindhudurg
Maharashtra,Solapur
Maharashtra,Thane
Maharashtra,Wardha
Maharashtra,Washim
Maharashtra,Yavatmal
Manipur,Bishnupur
Manipur,Churachandpur
Manipur,Chandel
Manipur,Imphal East
Manipur,Senapati
Manipur,Temenglong
Manipur,Thoubal
Manipur,Ukhrul
Manipur,Imphal West
Meghalaya,East Garo Hills
Meghalaya,East Khasi Hills
Meghalaya,Jaintia Hills
Meghalaya,Ri Bhoi
Meghalaya,South Garo Hills
Meghalaya,West Garo Hills
Meghalaya,West Khasi Hills
Mizoram,Aizawal
Mizoram,Champhai
Mizoram,Kolasib
Mizoram,Lawngtlai
Mizoram,Lunglei
Mizoram,Mamit
Mizoram,Saiha
Mizoram,Serchhip
Nagaland,Dimapur
Nagaland,Kiphire
Nagaland,Kohima
Nagaland,Longleng
Nagaland,Mokokchung
Nagaland,Mon
Nagaland,Peren
Nagaland,Phek
Nagaland,Tuensang
Nagaland,Wokha
Nagaland,Zunheboto
Odisha,Angul
Odisha,Boudh
Odisha,Bhadrak
Odisha,Balangir
Odisha,Bargarh
Odisha,Balasore
Odisha,Cuttack
Odisha,Debagarh
Odisha,Dhenkanal
Odisha,Ganjam
Odisha,Gajapati
Odisha,Jharsuguda
Odisha,Jajpur
Odisha,Jagatsinghpur
Odisha,Khordha
Odisha,Kendujhar
Odisha,Kalahandi
Odisha,Kandhamal
Odisha,Koraput
Odisha,Kendrapara
Odisha,Malkangiri
Odisha,Mayurbhanj
Odisha,Nabarangpur
Odisha,Nuapada
Odisha,Nayagarh
Odisha,Puri
Odisha,Rayagada
Odisha,Sambalpur
Odisha,Subarnapur
Odisha,Sundergarh
Puducherry,Karaikal
Puducherry,Mahe
Puducherry,Pondicherry
Puducherry,Yanam
Punjab,Amrtisar
Punjab,Barnala
Punjab,Bathinda
Punjab,Firozpur
Punjab,Faridkot
Punjab,Fatehgarh Sahib
Punjab,Fazilka
Punjab,Gurdaspur
Punjab,Hoshiarpur
Punjab,Jalandhar
Punjab,Kapurthala
Punjab,Ludhiana
Punjab,Mansa
Punjab,Moga
Punjab,Sri Muktsar Sahib
Punjab,Pathankot
Punjab,Patiala
Punjab,Rupnagar
Punjab,Ajitgarh
Punjab,Sangrur
Punjab,Shahid Bhagat Singh Nagar
Punjab,Tarn Taran
Rajasthan,Ajmer
Rajasthan,Alwar
Rajasthan,Bikaner
Rajasthan,Barmer
Rajasthan,Banswara
Rajasthan,Bharatpur
Rajasthan,Baran
Rajasthan,Bundi
Rajasthan,Bhilwara
Rajasthan,Churu
Rajasthan,Chittorgarh
Rajasthan,Dausa
Rajasthan,Dholpur
Rajasthan,Dungapur
Rajasthan,Ganganagar
Rajasthan,Hanumangarh
Rajasthan,Jhunjhunu
Rajasthan,Jalore
Rajasthan,Jodhpur
Rajasthan,Jaipur
Rajasthan,Jaisalmer
Rajasthan,Jhalawar
Rajasthan,Karauli
Rajasthan,Kota
Rajasthan,Nagaur
Rajasthan,Pali
Rajasthan,Pratapgarh
Rajasthan,Rajsamand
Rajasthan,Sikar
Rajasthan,Sawai Madhopur
Rajasthan,Sirohi
Rajasthan,Tonk
Rajasthan,Udaipur
Sikkim,East Sikkim
Sikkim,North Sikkim
Sikkim,South Sikkim
Sikkim,West Sikkim
Tamil Nadu,Ariyalur	
Tamil Nadu,Chennai	
Tamil Nadu,Coimbatore
Tamil Nadu,Cuddalore
Tamil Nadu,Dharmapuri
Tamil Nadu,Dindigul
Tamil Nadu,Erode
Tamil Nadu,Kanchipuram
Tamil Nadu,Kanyakumari
Tamil Nadu,Karur
Tamil Nadu,Krishnagiri
Tamil Nadu,Madurai
Tamil Nadu,Nagapattinam
Tamil Nadu,Nilgiris
Tamil Nadu,Namakkal
Tamil Nadu,Perambalur
Tamil Nadu,Pudukkottai
Tamil Nadu,Ramanathapuram
Tamil Nadu,Salem
Tamil Nadu,Sivaganga
Tamil Nadu,Tirupur
Tamil Nadu,Tiruchirappalli
Tamil Nadu,Theni
Tamil Nadu,Tirunelveli
Tamil Nadu,Thanjavur
Tamil Nadu,Thoothukudi
Tamil Nadu,Tiruvallur
Tamil Nadu,Tiruvarur
Tamil Nadu,Tiruvannamalai
Tamil Nadu,Vellore
Tamil Nadu,Viluppuram
Tamil Nadu,Virudhunagar
Telangana,Adilabad
Telangana,Hyderabad
Telangana,Karimnagar
Telangana,Khammam
Telangana,Mahbubnagar
Telangana,Medak
Telangana,Nalgonda
Telangana,Nizamabad
Telangana,Ranga Reddy
Telangana,Warangal
Tripura,Dhalai
Tripura,North Tripura
Tripura,South Tripura
Tripura,Khowai
Tripura,West Tripura
Uttar Pradesh,Agra
Uttar Pradesh,Aligarh
Uttar Pradesh,Allahabad
Uttar Pradesh,Ambedkar
Uttar Pradesh,Auraiya
Uttar Pradesh,Azamgarh
Uttar Pradesh,Bagpat
Uttar Pradesh,Bahraich
Uttar Pradesh,Ballia
Uttar Pradesh,Balrampur
Uttar Pradesh,Banda
Uttar Pradesh,Barabanki
Uttar Pradesh,Bareilly
Uttar Pradesh,Basti
Uttar Pradesh,Bijnor
Uttar Pradesh,Budaun
Uttar Pradesh,Bulandshahr
Uttar Pradesh,Chandauli
Uttar Pradesh,Amethi
Uttar Pradesh,Chitrakoot
Uttar Pradesh,Deoria
Uttar Pradesh,Etah
Uttar Pradesh,Etawah
Uttar Pradesh,Faizabad
Uttar Pradesh,Farrukhabad
Uttar Pradesh,Fatehpur
Uttar Pradesh,Firozabad
Uttar Pradesh,Gautam Buddh Nagar
Uttar Pradesh,Ghaziabad
Uttar Pradesh,Ghazipur
Uttar Pradesh,Gonda
Uttar Pradesh,Gorakhpur
Uttar Pradesh,Hamirpur
Uttar Pradesh,Hardoi
Uttar Pradesh,Hathras (Mahamaya Nagar)	
Uttar Pradesh,Jalaun
Uttar Pradesh,Jaunpur
Uttar Pradesh,Jhansi
Uttar Pradesh,Jyotiba Phule Nagar
Uttar Pradesh,Kannauj
Uttar Pradesh,Kanpur Dehat (Ramabai Nagar)
Uttar Pradesh,Kanpur Nagar
Uttar Pradesh,Kanshi Ram Nagar
Uttar Pradesh,Kaushambi
Uttar Pradesh,Kushinagar
Uttar Pradesh,Lakhimpur Kheri
Uttar Pradesh,Lalitpur
Uttar Pradesh,Lucknow
Uttar Pradesh,Maharajganj
Uttar Pradesh,Mahoba
Uttar Pradesh,Mainpuri
Uttar Pradesh,Mathura
Uttar Pradesh,Mau
Uttar Pradesh,Meerut
Uttar Pradesh,Mirzapur
Uttar Pradesh,Moradabad
Uttar Pradesh,Muzaffarnagar
Uttar Pradesh,Panchsheel Nagar district (Hapur)
Uttar Pradesh,Pilibhit
Uttar Pradesh,Pratapgarh
Uttar Pradesh,Raebareli
Uttar Pradesh,Rampur
Uttar Pradesh,Saharanpur
Uttar Pradesh,Sambhal(Bheem Nagar)
Uttar Pradesh,Sant Kabir Nagar
Uttar Pradesh,Sant Ravidas Nagar
Uttar Pradesh,Shahjahanpur	Shahjahanpur
Uttar Pradesh,Shamli
Uttar Pradesh,Shravasti
Uttar Pradesh,Siddharthnagar
Uttar Pradesh,Sitapur
Uttar Pradesh,Sonbhadra
Uttar Pradesh,Sultanpur
Uttar Pradesh,Unnao
Uttar Pradesh,Varanasi
Uttarakhand,Almora
Uttarakhand,Bageshwar
Uttarakhand,Chamoli
Uttarakhand,Champawat
Uttarakhand,Dehradun
Uttarakhand,Haridwar
Uttarakhand,Nainital
Uttarakhand,Pauri Garhwal
Uttarakhand,Pithoragarh
Uttarakhand,Rudraprayag
Uttarakhand,Tehri Garhwal
Uttarakhand,Udham Singh Nagar
Uttarakhand,Uttarkashi
West Bengal,Alipurduar
West Bengal,Bankura
West Bengal,Bardhaman
West Bengal,Birbhum
West Bengal,Cooch Behar
West Bengal,Dakshin Dinajpur
West Bengal,Darjeeling
West Bengal,Hooghly
West Bengal,Howrah
West Bengal,Jalpaiguri
West Bengal,Kolkata
West Bengal,Maldah
West Bengal,Murshidabad
West Bengal,Nadia
West Bengal,North 24 Parganas
West Bengal,Paschim Medinipur
West Bengal,Purba Medinipur
West Bengal,Purulia
West Bengal,South 24 Parganas
West Bengal,Uttar Dinajpur
Lakshdweep,Lakshadweep
Andaman and Nicobar Islands,North and Middle Andaman
Andaman and Nicobar Islands,South Andaman
Andaman and Nicobar Islands,Nicobar
Puducherry,Karaikal
Puducherry,Mahe
Puducherry,Pondicherry
Puducherry,Yanam
Anantapur,Anantapur
Chittoor,Chittoor
East Godavari,Kakinada
Guntur,Guntur	
Kadapa,Kadapa	
Krishna,Machilipatnam
Kurnool,Kurnool
Nellore,Nellore
Prakasam,Ongole
Srikakulam,Srikakulam
Vishakhapatnam,Vishakhapatnam
Vizianagaram,Vizianagaram
West Godavari,Eluru
Kuwait,Hawalli
Kuwait,Al Asimah
Kuwait,Al Farwaniyah
Kuwait,Al Jahra
Kuwait,Al Ahmadi
Kuwait,Mubarak Al Kabeer
Hawalli,Surra
Hawalli,Bayan
Hawalli,Mishref
Hawalli,Jabriya
Hawalli,Rumaithiya
Hawalli,Salmiya
Hawalli,Salwa
Hawalli,Shaar
Alipurduar,Madarihat
Alipurduar,Alipurduar-I Block
Alipurduar,Alipurduar-II Block
Alipurduar,Falakata
Alipurduar,Kalchini
Alipurduar,Kumargram
Bankura,Bankura Sadar
Bankura,Khatra
Bankura,Bishnupur
Bardhaman,Asansol
Bardhaman,Durgapur
Bardhaman,Kalna
Bardhaman,Katwa
Bardhaman,Bardhaman Sadar North
Bardhaman,Bardhaman Sadar South
Birbhum,Suri Sadar
Birbhum,Bolpur
Birbhum,Rampurhat
Cooch Behar,Cooch behar Sadar
Cooch Behar,Dinhata
Cooch Behar,Mathabhanga
Cooch Behar,Mekhliganj
Cooch Behar,Tufanganj
Darjeeling,Darjeeling Sadar
Darjeeling,Kalimpong
Darjeeling,Kurseong
Darjeeling,Siliguri
Purba Medinipur,Tamluk
Purba Medinipur,Haldia
Purba Medinipur,Egra
Purba Medinipur,Contai
Hooghly,Chinsurah
Hooghly,Chandannagore
Hooghly,Srirampore
Hooghly,Arambagh
Howrah,Howrah Sadar
Howrah,Uluberia
Jalpaiguri,Jalpaiguri Sadar
Jalpaiguri,Malbazar
Maldah,Chanchal
Maldah,Malda Sadar
Murshidabad,Barhampur
Murshidabad,Domkol
Murshidabad,Lalbag
Murshidabad,Kandi
Murshidabad,Jangipur
Nadia,Krishnanagar Sadar
Nadia,Kalyani
Nadia,Ranaghat
Nadia,Tehatta
North 24 Parganas,Barrackpore
North 24 Parganas,Barasat Sadar
North 24 Parganas,Bangaon
North 24 Parganas,Basirhat
North 24 Parganas,Bidhannagar
Uttar Dinajpur,Raiganj
Uttar Dinajpur,Islampur
Purulia,Purulia Sadar East
Purulia,Purulia Sadar West
Purulia,Raghunathpur
South 24 Parganas,Baruipur
South 24 Parganas,Canning
South 24 Parganas,Diamond Harbour
South 24 Parganas,Kakdwip
South 24 Parganas,Alipore Sadar
Dakshin Dinajpur,Balurghat
Dakshin Dinajpur,Gangarampur
Paschim Medinipur,Kharagpur
Paschim Medinipur,Mednipur Sadar
Paschim Medinipur,Ghatal
Paschim Medinipur,Jhargram
Bankura Sadar,Bankura I
Bankura Sadar,Bankura II
Bankura Sadar,Barjora
Bankura Sadar,Chhatna
Bankura Sadar,Gangajalghati
Bankura Sadar,Mejia
Bankura Sadar,Onda
Bankura Sadar,Saltora
Bankura I,Anchuri
Bankura I,Jagadalla I
Bankura I,Kalpathar
Bankura I,Andharthole
Bankura I,Jagadalla II
Bankura I,Kenjakura
Bankura II,Bikna
Bankura II,Kosthia
Bankura II,Narrah
Bankura II,Sanbandha
Bankura II,Janbedia
Bankura II,Mankanali
Bankura II,Purandarpur
Barjora,Beliatore
Barjora,Chhandar
Barjora,Hatasuria
Barjora,Pokhonna
Barjora,Ghutgoria
Barjora,Khanrari
Barjora,Shaharjora
Barjora,Brindabanpur
Barjora,Godardihi
Barjora,Maliyara
Chhatna,Arrah
Chhatna,Dhaban
Chhatna,Jirrah
Chhatna,Teghari
Chhatna,Cheenabari
Chhatna,Ghoshergram
Chhatna,Metyala
Chhatna,Chhatna I
Chhatna,Jamtora
Chhatna,Shaldiha
Chhatna,Chhatna II
Chhatna,Jhunjhka
Chhatna,Shushunia
Gangajalghati,Banasuria
Gangajalghati,Lachhmanpur
Gangajalghati,Piraboni
Gangajalghati,Barashal
Gangajalghati,Gobindadham
Gangajalghati,Latiaboni
Gangajalghati,Bhaktabandh
Gangajalghati,Kapista
Gangajalghati,Nityanandapur
Mejia,Ardhagram
Mejia,Kushtor
Mejia,Ramchandrapur
Mejia,Banjora
Onda,Chingani
Onda,Lodna
Onda,Nikunjapur
Onda,Ramsagar
Onda,Churamonipur
Onda,Majdiha
Onda,Onda I
